epoch,Fidelity,KL_Divergence,Observable_XX_ev,Observable_XZ_ev
1,0.4012577518516137,0.6065202715087518,0.37837783465524527,0.26918038811275524
2,0.39839207113402997,0.5835845649299944,0.4098164122264544,0.39388377197209107
3,0.3707680528998443,0.5654879118003959,0.4487304892781374,0.5437192800425416
4,0.34955646322480427,0.5540200704565288,0.4449511968349571,0.3338294887023625
5,0.33458933236038485,0.5465367693770895,0.4135463689392889,0.523509680605425
6,0.31958315106788665,0.5385425046644303,0.3842613095551929,0.43569027334637855
7,0.30765331405709284,0.5311800836725428,0.35524802858854576,0.3745465206414891
8,0.3082969973416062,0.526299917374975,0.33111169349386793,0.3260720009957524
9,0.30941198418847987,0.5237917077604431,0.3606974230318624,0.4191027959760292
10,0.30939768627555103,0.5179347875308579,0.3896227511546754,0.49972746621856745
11,0.3047397976636269,0.5146552968127236,0.2798141506226093,0.4509179323160355
12,0.2985825896066038,0.5093250837851242,0.42864015323729787,0.5591695069784657
13,0.2962156148272565,0.499121257028141,0.36674012191081784,0.4753762594503448
14,0.29144775743965495,0.48870491720041503,0.4089807411216525,0.3871207558775774
15,0.2890804533578852,0.48012093510980614,0.45410003201310006,0.2292901261396874
16,0.2926558404934654,0.4741553831617798,0.34300023484639003,0.3863524875649147
17,0.2980671828350385,0.46687835207778616,0.45867458917590576,0.34215517548139146
18,0.30415518203613495,0.46249503270069187,0.4303737083388566,0.3702812019157634
19,0.3068242833705662,0.45514387299192144,0.4611483656696238,0.255909608006595
20,0.3036937762620424,0.44642070144303897,0.43237787498139196,0.3436100002317992
21,0.3031648590762779,0.43998110520079425,0.4486673868270815,0.15642183295101453
22,0.3059900565115478,0.4361153583791183,0.3835611962555459,0.3458544782009314
23,0.30768766092193894,0.429157005472292,0.444138122626393,0.4231668633688499
24,0.30811039444391586,0.42298144337730387,0.43094772756245425,0.3699291228538997
25,0.3112736894285486,0.41689686548738947,0.412934132110591,0.43836710227208
26,0.3187113151094215,0.4121442619119724,0.39121211765260044,0.373569653065809
27,0.3215002316677862,0.4055914789859732,0.40696548795903753,0.44913430820788225
